Model,rep,rTr,rTs
BaselineMM,1,0.350297207210936,0.110402259263934
EMDs,1,0.999818921438622,0.745688233499027
RxnNormMDs,1,0.999835119560713,0.725106231587502
BaselineMM,1,0.350317019584059,0.111200237653262
BaselineMM,2,0.363698211728801,0.0797406032783965
EMDs,2,0.999797277715154,0.795642196318769
EMDs,1,0.999815212808021,0.742863689033578
RxnNormMDs,1,0.999834306365781,0.73263116019537
RxnNormMDs,2,0.999812102370152,0.778431471081839
BaselineMM,4,0.356504453583642,0.0931480654006872
BaselineMM,6,0.333037822689017,0.150835819460533
BaselineMM,8,0.359952684301846,0.103201133838714
BaselineMM,10,0.3688047737042,0.0758229455991912
BaselineMM,5,0.349932616869461,0.128236789107693
BaselineMM,2,0.361685588463811,0.0846370901811998
BaselineMM,7,0.354424535314718,0.129697148795181
BaselineMM,9,0.359297404415745,0.110685543905302
BaselineMM,1,0.347472593117191,0.112204781712844
BaselineMM,3,0.351796889653177,0.113093683301352
EMDs,2,0.999709239607403,0.785759069973805
EMDs,6,0.999672261350015,0.763436431181875
EMDs,7,0.999738983999138,0.791100295621222
EMDs,3,0.99972394058504,0.742992617676843
EMDs,5,0.999710001809685,0.754228283825131
EMDs,9,0.999722422872215,0.772309135448705
EMDs,10,0.999695959316592,0.779655658722656
EMDs,8,0.999701285704065,0.754827092335212
EMDs,1,0.999735959433231,0.739990465697507
EMDs,4,0.999701035321758,0.745855130111764
RxnNormMDs,10,0.999713471074257,0.757683327909953
RxnNormMDs,8,0.999747271913024,0.725842598149679
RxnNormMDs,2,0.999706406235892,0.7628507006845
RxnNormMDs,1,0.999722897642499,0.705393092712578
RxnNormMDs,7,0.999721252744782,0.766362117621308
RxnNormMDs,3,0.999755892848461,0.702044291614986
RxnNormMDs,9,0.999741374285584,0.743750875146006
RxnNormMDs,6,0.999747561554763,0.733344807954134
RxnNormMDs,5,0.999751299958952,0.736793770373
RxnNormMDs,4,0.999721836231499,0.739950478554906
BaselineMM,3,0.351327957817693,0.11424398158815
BaselineMM,4,0.358853807790063,0.0844045039530641
BaselineMM,7,0.352878941097632,0.128708876861049
BaselineMM,5,0.348971531898994,0.126510341386659
BaselineMM,6,0.337171923523263,0.142005313852842
BaselineMM,8,0.360893700659975,0.0961619841893088
BaselineMM,9,0.358195090303846,0.118410703220795
BaselineMM,10,0.369226092507657,0.0768877517170752
BaselineMM,1,0.348727853849163,0.105613311191341
BaselineMM,2,0.361223151962379,0.0771925712262582
EMDs,3,0.999724238220037,0.727355216065388
EMDs,4,0.999724675661354,0.746606426255464
EMDs,6,0.999718211797765,0.760274625319368
EMDs,1,0.999717905042583,0.728047150698706
EMDs,8,0.999708938843534,0.76210856266407
EMDs,2,0.99968070110345,0.774833094028688
EMDs,9,0.999704496968624,0.759081581532456
EMDs,5,0.99973636830763,0.756298078962016
EMDs,10,0.999703328973575,0.779095120277587
EMDs,7,0.999731642050614,0.789131560895624
RxnNormMDs,10,0.999730441503117,0.760690996204208
RxnNormMDs,2,0.999693787995317,0.774533676375725
RxnNormMDs,9,0.999733436891524,0.742933325398216
RxnNormMDs,4,0.999688906249873,0.73244333114839
RxnNormMDs,8,0.999723343073744,0.741160807871872
RxnNormMDs,7,0.999744498550961,0.766270972552961
RxnNormMDs,5,0.999757794506565,0.741353040192507
RxnNormMDs,1,0.999760402868832,0.708547304381117
RxnNormMDs,3,0.999763771803595,0.71433432789817
RxnNormMDs,6,0.999733602348999,0.735507242151173
BaselineMM,5,0.350368024180088,0.127317905801924
BaselineMM,3,0.352513224022522,0.112749615872106
BaselineMM,7,0.354369571672114,0.132663909330869
BaselineMM,8,0.361847662961034,0.102958169927161
BaselineMM,9,0.360852695436762,0.110586295296357
BaselineMM,4,0.359296165228825,0.0886056772818357
BaselineMM,10,0.369231830031809,0.0757973296748096
BaselineMM,6,0.336087236820206,0.146289862036156
BaselineMM,2,0.363220595653782,0.0780489350282818
EMDs,10,0.999800865324975,0.785289743900898
BaselineMM,1,0.349049602981856,0.111492678284773
EMDs,7,0.999813247317173,0.799367142292006
EMDs,5,0.999806474941759,0.769288510910908
EMDs,9,0.999804935325604,0.771471387771896
EMDs,4,0.999796092771425,0.759583212516847
EMDs,3,0.999810455301404,0.748130385563342
EMDs,2,0.999796487166179,0.792777687731085
EMDs,6,0.999788572035724,0.771697918418196
EMDs,8,0.999790539555612,0.770942659860893
EMDs,1,0.999813160446468,0.741590185638839
RxnNormMDs,3,0.999819552762516,0.722997699980791
RxnNormMDs,9,0.999818736031638,0.756194108017907
RxnNormMDs,10,0.999814297709101,0.771622053503991
RxnNormMDs,5,0.999829691863864,0.747632672005385
RxnNormMDs,2,0.999807860633554,0.781313731324801
RxnNormMDs,7,0.999830127076978,0.786128306172286
RxnNormMDs,4,0.999808173054722,0.745786253818013
RxnNormMDs,6,0.999813833115211,0.754349935378968
RxnNormMDs,1,0.999835096568551,0.728618329596003
RxnNormMDs,8,0.99981946347759,0.760673050028872
BaselineMM,1,0.350540598697476,0.101979523431578
BaselineMM,8,0.361374303914053,0.108653187743341
BaselineMM,9,0.359552115402044,0.111139918047572
BaselineMM,6,0.337162571998076,0.146946945298628
BaselineMM,4,0.35761721048179,0.0841066953904598
BaselineMM,10,0.369202710264927,0.0733625512842113
BaselineMM,2,0.3627701631657,0.077121407218784
BaselineMM,3,0.35287819699379,0.106520555191032
BaselineMM,5,0.351235682084477,0.123614723297491
BaselineMM,7,0.354699417152079,0.133762867633666
EMDs,4,0.999694183900507,0.748243907505779
EMDs,6,0.99967862115539,0.762288895783558
EMDs,8,0.999698755179607,0.757505954408181
EMDs,1,0.999742004652075,0.722156221156646
EMDs,2,0.999696972905181,0.77352329446826
EMDs,7,0.999733925942327,0.779991754964167
EMDs,10,0.999701012380918,0.771795660486681
EMDs,3,0.999696269053864,0.730779216566836
EMDs,5,0.999710473634405,0.756912058847858
EMDs,9,0.999706190536055,0.765706900985683
RxnNormMDs,10,0.999730998113413,0.749625954674373
RxnNormMDs,9,0.99974324241553,0.736512378443885
RxnNormMDs,7,0.999745425060867,0.771512140388704
RxnNormMDs,3,0.999749227473193,0.706085372813239
RxnNormMDs,2,0.999691526578711,0.759699091388547
RxnNormMDs,4,0.999733756632151,0.734585622739961
RxnNormMDs,6,0.999710621359381,0.732608323559184
RxnNormMDs,8,0.999718134933867,0.735560809021322
